,PCA 1,PCA 2,Cluster
0,1.4360071474553306,-4.892138543569411,1
1,-1.201100084473332,3.8784975474712877,3
2,-5.212543360649577,0.2022090175109208,2
3,0.0767640488563676,0.2998811344772101,3
4,-4.940517144163977,3.13168979718988,2
5,-0.5993007768339955,-0.40841094672988226,1
6,0.08580486486967874,-3.5501093466533566,1
7,-0.9865345440164937,0.7365271526929542,3
8,-5.82151635516145,-0.6367606032309552,2
9,-3.756589775026882,-1.1453322006372537,2
10,-3.021194090050116,2.7425897648260364,2
11,1.9149740336581238,-1.027384851933947,1
12,-1.5360616694458737,1.4858445680908847,3
13,0.038575340739559386,2.773581235367994,3
14,1.0899574600751865,0.012783570277690214,1
15,2.0674657628981103,-1.934989113740124,1
16,4.2063711930785335,-0.8978249681872963,0
17,2.3366798285356043,2.6724969615818734,3
18,3.765561492599935,-3.958987766003376,1
19,-1.469008567092002,-0.7953258171348919,1
20,-0.9506650396660596,-0.6246905138422693,1
21,-4.540757693239185,-1.8085040119536426,2
22,-1.3839013945284517,-3.2396170852154067,1
23,-5.474512971267739,-0.6171026921361127,2
24,-3.546459171207821,-3.0246491661022996,2
25,-2.069597559583389,3.956395351274483,3
26,-2.5748092877126836,-1.2845327484749394,2
27,-6.3630946940667155,-1.7908913780174454,2
28,3.8783625644633117,0.28625487069132993,0
29,-1.2197716543965011,-2.485178353452608,1
30,5.006516988894346,-2.300446978162815,0
31,4.171417103504844,1.131836859536941,0
32,-0.9725941023149812,-0.030100189888531862,1
33,0.5753479237636018,-4.489157512863106,1
34,-0.005700064159469267,4.626922329044127,3
35,-5.591147508338152,1.6308822399659506,2
36,3.418938110908322,-2.3646836056378433,0
37,3.84397055681276,-0.26663165304712805,0
38,6.895025994497911,-0.05788202451685023,0
39,1.9153125429217488,-1.0450548354913645,1
40,3.789000545140575,-2.5119736597882762,0
41,-3.3172007507464913,1.83563673189869,2
42,-1.8651701752065863,13.74206138271421,3
43,-5.388006551192994,-2.1370418030135143,2
44,2.376785559528742,-3.2515974636707123,1
45,-5.908605096150246,1.3979559559363077,2
46,-4.987052172783356,3.8132186457485036,2
47,2.7702441461221294,0.6354012961202924,0
48,5.659596742876345,2.013119487087454,0
49,-4.4475118974894245,0.7612439534669863,2
50,-1.437964031697425,-0.11128987094667459,2
51,2.214754320271517,-1.1533697223060253,0
52,-0.4841178403773094,-6.3106933653227735,1
53,-2.0426357025014474,-4.36748417022309,1
54,-3.7051476932650393,2.2701914874269526,2
55,-1.1069332127347378,-1.322084997518126,1
56,-6.229112007304866,0.17633056904445857,2
57,2.9008173888545037,1.5544985761815848,0
58,-2.658340183997228,-2.8345949646749737,1
59,4.526267463004755,3.0746714696178366,0
60,5.809151873781671,4.895790192520831,0
61,5.333268420762624,4.819970229914875,0
62,-0.42102538112271787,2.0390032914411287,3
63,-5.031865605280933,3.4087649503605086,2
64,-0.30546565420209204,-6.588169809939535,1
65,-0.01321909591326589,-3.4347264928186823,1
66,-4.112049335936824,-2.8738247917286106,2
67,-1.8530835439725137,2.4971768577664992,3
68,-5.529250822513414,-1.7032355840697253,2
69,5.898495636229133,0.6096677630527904,0
70,1.018994925482189,-4.417449092455619,1
71,-6.723871673379068,-3.6561681758563145,2
72,-3.0479907936368273,0.30685741282587203,2
73,0.8837420488364188,1.4694624401169563,3
74,3.6451141536473517,-3.8995528456685165,1
75,-5.431061280619646,-0.5852271553246494,2
76,-5.112743168706972,-0.007570399679102586,2
77,1.3946570937937852,-3.5479435066912353,1
78,-3.572623282763631,-2.288730938230818,2
79,-2.945986199018303,-2.706402319740141,2
80,4.048617115055796,1.374698900858198,0
81,-0.8693037476344059,1.529874941749705,3
82,-1.0075283990212094,2.783894819329108,3
