,EXT1,EXT2,EXT3,EXT4,EXT5,EXT6,EXT7,EXT8,EXT9,EXT10,EST1,EST2,EST3,EST4,EST5,EST6,EST7,EST8,EST9,EST10,AGR1,AGR2,AGR3,AGR4,AGR5,AGR6,AGR7,AGR8,AGR9,AGR10,CSN1,CSN2,CSN3,CSN4,CSN5,CSN6,CSN7,CSN8,CSN9,CSN10,OPN1,OPN2,OPN3,OPN4,OPN5,OPN6,OPN7,OPN8,OPN9,OPN10,Cluster
59,4,3,4,3,4,2,5,2,3,2,5,0,5,2,4,4,3,4,4,4,1,4,1,5,1,5,1,4,5,4,4,2,4,2,4,1,4,1,4,4,4,3,5,3,3,1,4,2,4,2,3
60,2,2,3,4,2,2,4,5,3,5,5,2,5,2,2,4,4,4,5,4,3,4,4,4,3,4,2,2,4,1,2,4,5,4,3,2,4,2,2,3,4,1,5,1,4,1,5,5,5,4,1
61,1,4,2,4,2,3,4,4,4,5,5,2,5,5,5,4,5,5,2,5,1,4,1,5,1,5,2,4,5,4,2,3,5,2,4,4,4,2,2,4,4,1,5,1,5,1,3,4,4,5,3
62,2,3,4,3,5,2,3,3,4,3,1,5,3,1,1,1,1,1,2,1,3,4,2,3,3,3,2,0,2,4,3,5,2,4,1,5,1,3,2,4,4,1,5,1,5,1,5,4,5,5,2
63,3,3,3,3,4,3,2,3,3,3,4,4,3,4,3,3,3,3,3,3,2,5,2,4,2,3,3,3,4,4,3,4,4,4,4,4,3,3,2,3,3,4,3,3,2,3,4,2,3,2,2
64,3,3,3,3,4,3,4,4,3,2,2,3,4,2,1,4,4,4,4,4,1,3,1,4,2,4,2,3,4,5,3,2,3,2,2,2,4,2,2,3,5,1,4,1,5,1,5,5,5,5,3
65,1,4,3,4,4,4,2,2,5,4,5,4,5,1,5,4,4,4,5,5,5,5,4,1,5,5,2,4,2,5,1,5,5,5,2,5,2,2,1,5,2,1,5,1,5,1,5,4,5,5,1
66,3,1,5,2,4,2,5,5,1,2,3,3,3,3,3,2,4,3,1,2,1,4,1,4,2,4,2,4,4,4,5,4,4,1,2,4,5,1,3,4,5,3,5,2,4,1,3,4,2,5,0
67,5,1,2,3,5,1,5,2,4,3,5,4,5,1,3,5,5,5,5,4,2,3,5,5,2,5,2,5,5,5,3,5,2,5,1,5,1,1,4,5,5,3,4,3,5,3,4,3,5,5,3
68,3,3,4,3,2,1,3,3,4,3,1,5,1,4,2,1,2,1,3,1,2,4,1,4,2,4,1,4,4,3,5,3,5,1,4,3,4,1,4,4,5,1,3,1,5,2,5,4,4,5,0
69,4,2,3,2,4,2,5,4,4,3,3,3,3,2,3,2,2,2,3,2,1,4,3,3,4,2,3,4,5,5,2,1,3,1,2,1,5,3,3,5,3,1,5,1,5,1,4,3,4,5,0
70,4,3,3,3,3,2,4,2,4,4,4,3,4,2,3,3,3,4,3,2,3,4,2,3,2,3,3,4,4,4,3,3,4,4,3,3,2,3,2,3,2,2,2,2,3,3,4,2,4,3,3
71,3,3,3,5,3,3,3,5,1,4,4,2,4,2,2,4,4,3,4,4,1,4,3,4,2,3,2,4,3,3,4,3,4,2,3,3,4,2,3,3,3,2,4,1,3,1,5,3,5,3,1
72,2,4,2,3,2,3,1,5,2,4,1,4,4,3,3,2,3,1,3,2,1,4,4,4,2,4,2,4,4,4,4,4,5,3,2,2,4,1,3,4,5,1,5,2,3,2,5,4,2,4,2
73,2,1,4,2,0,1,3,2,2,2,3,3,3,5,2,0,1,1,2,1,1,4,1,4,3,3,1,4,4,5,4,4,5,2,2,2,4,1,4,4,5,1,4,1,5,2,5,1,5,5,0
74,3,2,4,3,5,2,4,5,2,3,4,2,5,1,4,3,1,1,2,5,2,5,1,4,1,3,2,4,5,5,4,3,4,1,4,2,5,2,4,4,5,3,4,1,4,2,4,4,4,5,3
75,4,1,5,2,5,1,4,4,4,1,4,3,4,1,4,4,3,2,2,4,1,5,3,5,1,5,1,4,5,5,2,5,2,4,1,3,3,2,1,3,4,3,4,1,4,2,4,4,5,4,3
76,1,2,4,3,2,1,1,3,4,4,3,3,2,4,1,1,1,1,1,1,3,4,2,2,2,1,2,2,2,3,4,3,2,2,1,4,2,3,2,4,5,1,5,1,5,1,4,5,4,5,2
77,1,5,2,5,2,2,1,5,1,5,4,2,5,4,4,4,3,2,5,4,1,5,4,4,1,1,1,3,3,3,5,4,5,2,4,5,5,3,4,5,3,2,3,1,3,2,3,3,4,4,1
78,1,4,1,5,1,3,2,5,1,5,5,2,5,1,1,5,2,4,4,5,1,4,1,5,1,5,2,5,5,4,5,4,4,5,3,5,3,4,3,4,3,2,4,2,4,3,4,4,5,3,1
79,2,2,3,2,4,3,3,3,4,4,4,3,4,4,3,3,3,2,3,2,2,3,2,3,3,3,3,2,3,3,4,4,4,2,1,1,3,3,3,3,5,1,5,1,3,1,5,5,5,5,2
80,4,3,3,3,3,2,2,3,3,4,4,4,5,2,3,4,5,4,4,4,2,4,4,4,2,4,2,4,4,3,4,1,5,1,4,1,4,3,4,3,4,2,3,3,4,2,5,4,4,4,3
81,2,4,4,4,3,3,2,4,4,4,2,5,2,2,4,2,2,2,4,2,3,4,1,4,4,4,3,3,5,3,3,2,3,2,4,2,4,2,2,4,4,2,4,2,4,2,4,4,4,4,2
82,4,1,4,2,3,1,2,4,3,3,3,3,4,4,2,3,1,1,1,1,1,4,1,5,2,5,2,5,5,5,5,1,5,1,4,1,5,1,5,5,5,1,5,2,5,1,5,5,5,5,0
83,3,3,3,3,3,2,2,3,3,4,4,3,5,2,2,2,3,3,4,3,3,5,1,5,4,3,2,4,4,3,5,3,5,1,4,1,3,3,4,4,3,1,3,2,4,2,4,3,3,4,2
84,1,3,2,4,1,3,1,3,2,5,4,3,4,1,3,3,4,4,4,4,3,1,1,3,4,4,4,3,3,2,3,3,4,2,3,4,4,3,3,3,4,2,5,1,4,1,4,4,5,5,1
85,5,1,5,1,5,1,1,1,5,5,1,5,3,3,1,1,5,3,1,3,5,5,1,5,1,5,1,3,1,5,3,5,5,3,3,1,1,5,1,5,5,3,5,1,5,1,5,5,5,5,0
86,4,1,5,2,5,2,5,3,5,2,4,1,4,2,3,4,2,1,2,2,1,5,2,5,2,5,1,5,5,5,4,4,4,2,2,5,5,1,4,5,3,2,3,2,4,4,5,3,4,4,0
87,5,1,5,1,5,1,5,4,5,1,1,4,4,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,4,1,5,4,5,5,5,3,4,5,4,3,5,5,0
88,2,3,4,3,2,1,1,3,3,2,1,5,1,4,3,1,1,1,2,1,4,2,1,3,4,2,4,4,3,3,3,1,4,2,2,2,5,1,5,4,3,1,2,2,2,2,5,1,4,2,2
89,3,3,5,2,4,1,4,4,4,3,4,4,3,4,1,3,4,4,3,4,2,5,2,5,2,5,1,4,5,5,4,4,4,2,4,2,4,2,5,4,4,2,4,2,4,1,4,4,4,5,3
90,1,3,2,3,2,3,1,4,1,4,5,2,4,1,4,3,5,4,2,5,2,4,1,4,2,3,2,3,5,3,3,2,4,4,3,2,4,2,3,3,2,2,3,2,3,3,4,2,3,3,1
91,1,1,2,5,1,5,1,5,1,5,3,4,4,3,3,1,5,1,3,2,3,2,4,4,5,4,3,3,3,3,2,5,3,1,1,5,4,1,3,4,5,1,5,1,5,1,5,4,5,5,1
92,2,3,3,2,3,1,3,4,2,3,4,3,4,3,2,1,3,3,2,3,4,3,4,2,4,2,4,2,2,2,4,2,5,2,2,2,4,1,3,5,5,2,4,2,4,1,5,5,4,4,2
93,5,2,5,1,4,1,4,1,5,1,4,1,4,3,4,4,4,3,5,3,1,2,1,5,2,4,2,2,5,4,4,2,5,3,2,2,4,2,3,3,3,1,4,1,5,1,5,4,5,4,3
94,1,3,3,5,3,1,3,3,3,3,4,4,5,3,2,3,2,1,3,3,1,5,3,5,2,3,3,5,4,4,5,1,5,3,4,1,5,1,5,5,5,1,5,1,5,1,5,1,5,5,0
95,3,1,4,3,5,1,5,2,5,4,5,3,5,1,5,2,5,4,5,4,1,4,3,5,1,5,1,5,5,5,1,5,4,3,1,5,1,3,2,1,2,2,5,3,4,1,3,2,5,0,3
96,2,2,2,3,1,1,2,4,4,5,4,3,5,2,5,4,5,4,5,3,3,2,5,3,2,2,4,2,3,2,4,4,4,2,2,2,5,1,5,3,2,5,2,4,4,4,4,2,5,3,1
97,3,3,3,4,2,3,3,5,2,4,2,0,3,3,2,2,3,2,2,3,4,2,2,2,3,2,4,3,2,4,3,3,3,2,3,3,3,3,2,3,2,2,3,2,3,3,4,2,2,2,2
98,3,1,4,2,4,2,4,1,5,2,5,1,5,3,4,5,4,4,5,4,4,3,5,4,2,4,2,3,4,4,2,4,4,3,4,5,3,3,2,3,4,3,3,2,3,3,4,4,3,3,3
99,1,3,3,4,4,2,3,4,2,3,2,4,4,3,2,2,3,2,2,2,1,5,1,4,2,4,2,3,3,3,4,2,4,1,3,2,4,1,4,4,5,1,5,1,5,1,4,5,4,5,2
100,1,3,2,4,1,1,1,3,2,5,5,1,5,1,1,4,5,5,5,5,1,3,1,5,1,5,5,5,5,5,3,5,5,5,1,5,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1
101,4,2,4,1,2,2,4,2,4,4,2,4,4,2,2,1,2,2,1,2,4,2,4,1,4,2,2,4,1,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,2,1,2,4,2
